grammar_error_sentence,corrected_sentence,spelling_error_sentences
මම නැටුම් නටද්දී ළමයා ඔහුගෙන් පොතක් දෙවහු,මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගැනවේ,මම නැටුම් නටද්දී වාහ ඔහුගෙන් පොතක් ගැනවේ
නුබලා ඔහුගෙන් පොතක් දුන්නෙහු,වාහන ඔහුගෙන් පොතක් ගැනවේ,වාහන ඔහුගෙන් පතක් ගැනවේ
මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගන්නෙමි,මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගන්නීය,මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොක් ගන්නීය
වාහනය ඔහුගෙන් පොතක් ගනිමිවා,වාහනය ඔහුගෙන් පොතක් ගන්නේය,වාහනය ඔහුගෙන් පොතක් ගන්නය
නුබ ඔහුගෙන් පොතක් දෙනු,වාහන ඔහුගෙන් පොතක් ගැනවේ,වාහන ඔහගෙන් පොතක් ගැනවේ
ඔබ සින්දු කිව්වොත් මම ඔහුගෙන් පොතක් දුන්නෝය,ඔබ සින්දු කිව්වොත් වාහන ඔහුගෙන් පොතක් ගැනවේ,ඔබ සින්ු කිව්වොත් වාහන ඔහුගෙන් පොතක් ගැනවේ
නුබලා වේගයෙන් යන්නෙමි,නුබලා වේගයෙන් යනවාලා,නුබලා වේගයෙන යනවාලා
නුබලා  යවන්නෝය,නුබලා  යවන්නෙහු,නුබල යවන්නෙහු
මම නැටුම් නටද්දී ලස්සන වාහනය ගෙදර යවන්නෙමු,මම නැටුම් නටද්දී ලස්සන වාහනය ගෙදර යවන්නීය,මම නැටුම් ටද්දී ලස්සන වාහනය ගෙදර යවන්නීය
වාහනය ඔහුගෙන් පොතක් ගන්වහි,වාහනය ඔහුගෙන් පොතක් ගන්වයි,වාහනය ඔහුගෙන් පොතක් ගන්වි
මම නැටුම් නටද්දී මම යවන්නෝය,මම නැටුම් නටද්දී මම යවන්නෙමි,මම නැටම් නටද්දී මම යවන්නෙමි
මම නැටුම් නටද්දී ළමයි ගෙදර යන්නෙමු,මම නැටුම් නටද්දී ළමයි ගෙදර යති,ම නැටුම් නටද්දී ළමයි ගෙදර යති
නුබලා  යන්නෙමු,නුබලා  යනවාලා,නුබලා යනාලා
මම නැටුම් නටද්දී ළමයා ගෙදර වේගයෙන් යවති,මම නැටුම් නටද්දී ළමයා ගෙදර වේගයෙන් යයි,මම නැටුම් නටද්දී ළමයා ගෙදර වේගයෙන් යි
ඔබ සින්දු කිව්වොත් නුබ ඔහුගෙන් පොතක් දීපල්ලා,ඔබ සින්දු කිව්වොත් වාහන ඔහුගෙන් පොතක් ගැනවේ,ඔබ සින්දු කිව්වොත් වාහන ඔහුගෙන් පොක් ගැනවේ
ඔබ සින්දු කිව්වොත් අපි වේගයෙන් යමිවා,ඔබ සින්දු කිව්වොත් අපි වේගයෙන් යන්නෙමුවා,ඔබ සින්දු කිව්වෝ අපි වේගයෙන් යන්නෙමුවා
ඔබ සින්දු කිව්වොත් මම ගෙදර යවන්නෙහු,ඔබ සින්දු කිව්වොත් මම ගෙදර යවන්නෙමි,ඔබ සින්දු කිව්වොත් ම ගෙදර යවන්නෙමි
මම ඔහුට පොතක් දුන්නාය,මම ඔහුට පොතක් දුන්නෙමි,මම ඔහට පොතක් දුන්නෙමි
අපි ගෙදර ගියෙහු,අපි ගෙදර ගියෙමු,අපි ගෙදර ියෙමු
වාහන බත් කමින් යන්නෙහිවා,වාහන බත් කමින් යන්නීය,වාහන බත් කින් යන්නීය
මම ඔහුගෙන් පොතක් දෙවහි,වාහන ඔහුගෙන් පොතක් ගැනවේ,වාහන ඔුගෙන් පොතක් ගැනවේ
වාහනය බත් කමින් ගෙදර වේගයෙන් යවමු,වාහනය බත් කමින් ගෙදර වේගයෙන් යවන්නේය,වාහනය බත කමින් ගෙදර වේගයෙන් යවන්නේය
මම නැටුම් නටද්දී ලස්සන මම ගෙදර යවන්නේය,මම නැටුම් නටද්දී ලස්සන මම ගෙදර යවන්නෙමි,මම නැටුම නටද්දී ලස්සන මම ගෙදර යවන්නෙමි
අපි පොත බලා ගෙදර වේගයෙන් යැවෙති,අපි පොත බලා ගෙදර වේගයෙන් යැවෙමු,අපි පොත බා ගෙදර වේගයෙන් යැවෙමු
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් ගන්නවාලා,මම නැටුම් නටද්දී වාහන ගෙදර වේගයෙන් යැවවේ,මම නැටුම් නටද්දී වාහන ගෙදර වේගයෙන් යවවේ
නුබලා ගෙදර වේගයෙන් යනවා,නුබ ගෙදර වේගයෙන් ගියෙහි,නුබ ගෙදර වේගයෙන ගියෙහි
මම නැටුම් නටද්දී ලස්සන ළමයි ගෙදර යවන්නෙහි,මම නැටුම් නටද්දී ලස්සන ළමයි ගෙදර යවති,මම නැටුම් නටද්දී ලස්සන ළමයි ෙදර යවති
ඔබ සින්දු කිව්වොත් නුබ ඔහුට පොතක් දෙමිවා,ඔබ සින්දු කිව්වොත් නුබ ඔහුට පොතක් දීපන්,ඔබ සින්දු කිව්වොත් ුබ ඔහුට පොතක් දීපන්
ඔබ සින්දු කිව්වොත් වාහන ගෙදර වේගයෙන් යහිවා,ඔබ සින්දු කිව්වොත් වාහන ගෙදර වේගයෙන් යවයි,ඔබ සින්දු කිව්වොත් වාහන ගෙර වේගයෙන් යවයි
